danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
high,high,low,low,low,low,high,125.135,216933,high
low,high,low,low,low,low,high,169.39,219800,medium
high,medium,low,low,low,low,high,100.315,177685,medium
high,medium,low,low,low,low,low,125.082,222200,medium
high,high,low,low,low,medium,high,130.072,201000,medium
high,high,low,low,low,medium,medium,135.956,229507,medium
high,medium,low,low,low,low,medium,130.025,240907,medium
high,high,low,low,low,low,high,125.008,210627,high
high,high,low,low,low,low,high,128.001,211920,low
medium,high,low,low,low,low,low,87.016,231212,high
medium,high,low,low,low,low,low,126.062,245040,high
high,medium,low,low,low,low,medium,120.97,227833,medium
high,high,low,low,low,low,high,128.039,187507,low
medium,high,low,low,low,low,low,129.885,204360,medium
high,high,low,low,low,low,high,116.017,178560,high
medium,high,low,low,low,low,high,129.984,204200,medium
medium,high,low,low,low,low,medium,127.923,226987,medium
medium,high,low,low,low,high,medium,124.032,187027,medium
high,high,low,low,low,low,high,124.986,204640,high
medium,high,low,low,low,low,medium,127.934,212560,high
high,high,low,low,low,low,high,143.994,233478,high
medium,high,low,low,low,medium,medium,129.973,222500,high
high,high,low,low,low,low,high,125.916,157153,medium
high,high,low,low,low,low,high,106.008,185587,low
medium,medium,low,medium,low,low,low,75.089,252867,high
high,high,low,low,low,low,high,127.937,206413,high
high,high,low,low,low,low,medium,122.017,257840,high
high,high,low,low,low,low,high,127.99,166933,medium
medium,low,low,high,low,low,medium,72.795,213827,high
high,high,low,low,low,low,medium,125.038,203820,medium
medium,high,low,low,low,low,low,169.533,209440,high
high,medium,low,low,high,low,low,128.0,258750,medium
medium,high,low,low,low,low,medium,124.008,206373,low
medium,high,low,low,low,low,medium,127.961,217347,medium
high,high,low,low,low,low,high,90.048,238560,medium
medium,high,low,low,low,medium,high,128.326,191007,medium
high,high,low,low,low,medium,high,127.01,216440,medium
high,high,low,low,low,low,high,127.967,179789,low
medium,high,low,low,low,low,low,143.887,228053,medium
high,high,low,low,low,low,high,128.001,182657,medium
high,high,low,low,low,low,high,128.002,221387,low
high,high,low,low,low,low,medium,110.026,215253,high
high,high,low,low,low,low,medium,127.981,277799,medium
medium,medium,low,low,low,low,medium,128.968,211027,low
medium,high,low,low,low,low,low,125.972,355545,medium
medium,high,low,low,low,low,medium,90.074,210320,low
high,high,low,low,low,low,medium,128.062,240347,medium
medium,high,low,low,low,low,high,150.068,218093,medium
high,high,low,low,low,low,high,129.99,232533,low
high,high,low,low,low,low,medium,127.006,169355,low
high,high,low,low,low,low,high,131.608,190494,low
medium,high,low,low,low,low,medium,127.962,167143,low
high,high,low,low,low,low,high,127.968,206787,low
high,high,low,low,low,high,high,128.025,185649,medium
high,medium,medium,low,low,low,low,98.986,203200,medium
high,high,low,low,low,medium,medium,126.951,210000,medium
