Track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
Sweet Dreams (Are Made of This) - Remastered,0.692,0.711,-7.498,0.0317,0.225,0,0.12,0.875,125.135,216933,82
Rock and Roll - 1990 Remaster,0.327,0.895,-7.428,0.0367,0.000564,0.0159,0.104,0.898,169.39,219800,58
Talk Dirty (feat. 2 Chainz),0.76,0.652,-7.321,0.232,0.0348,0,0.307,0.759,100.315,177685,56
La La La,0.772,0.65,-5.202,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,222200,62
Play Hard (feat. Ne-Yo & Akon),0.691,0.921,-1.702,0.0533,0.173,0,0.331,0.8,130.072,201000,56
Feel This Moment (feat. Christina Aguilera),0.673,0.758,-3.632,0.158,0.039,0,0.341,0.542,135.956,229507,55
A Little Party Never Killed Nobody (All We Got),0.763,0.653,-5.05,0.149,0.00876,5.46e-06,0.0854,0.477,130.025,240907,57
Starships,0.747,0.716,-2.457,0.075,0.135,0,0.251,0.751,125.008,210627,76
Die Young,0.711,0.7,-4.805,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4
Burn,0.559,0.777,-5.031,0.0432,0.31,0,0.105,0.329,87.016,231212,71
Levels - Radio Edit,0.62,0.881,-5.851,0.0372,0.0585,0.714,0.311,0.415,126.035,199904,1
Titanium (feat. Sia),0.604,0.787,-3.674,0.103,0.0679,0.15,0.127,0.301,126.062,245040,79
Rather Be (feat. Jess Glynne),0.799,0.586,-6.735,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,52
Hey Now (feat. Kyle) - Single Mix,0.712,0.957,-1.923,0.0793,0.00552,1.77e-06,0.103,0.703,128.039,187507,26
This Is What It Feels Like,0.551,0.833,-5.217,0.03,0.0391,2.77e-06,0.0632,0.145,129.885,204360,65
Treasure,0.874,0.692,-5.28,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,79
Timber (feat. Ke$ha),0.589,0.966,-4.106,0.098,0.0305,0,0.147,0.803,129.984,204200,63
The Other Side,0.561,0.836,-3.939,0.1,0.0525,0,0.136,0.517,127.923,226987,54
All Night,0.6,0.905,-3.41,0.0357,0.00274,0,0.831,0.636,124.032,187027,61
Right Round,0.72,0.672,-6.852,0.0551,0.009,0,0.232,0.705,124.986,204640,74
Sweet Nothing (feat. Florence Welch),0.573,0.929,-3.942,0.109,0.197,0.000112,0.0567,0.582,127.934,212560,72
Locked out of Heaven,0.726,0.698,-4.165,0.0431,0.049,0,0.309,0.867,143.994,233478,84
She Wolf (Falling to Pieces) [feat. Sia],0.492,0.857,-2.634,0.0655,0.0841,7.82e-06,0.344,0.393,129.973,222500,68
I Love It (feat. Charli XCX),0.711,0.906,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,157153,58
